age,gender,place,wspomaganie_innowacji,ai_zastapienie_lekarzy,operacja_robot_chirurg,ingerencja_geny,dane_czujniki_spersonalizowanie,leczenie_leki_genetyczne,opiekun_robot_czlowiek,koszulka_smart,tatuaz_smart,chip,wieksza_zaplata_zabieg,stosowanie_urzadzen,udzial_zaawansowane_badanie,vr,predyspozycje_genetyczne,liczba_daVinci,przewidywanie_stan_zdrowia,swiadomosc_korzysci_ai,telemedycyna,age_bins,Gotowosc
47,1,1,Tak,Tak,Jedynie przez wykształconego chirurga,Nie,Tak,Tak,Człowiek,Tak,Tak,Nie,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Nie,Nie,Nie,Tak,około 100 sztuk,Tak,Tak,Tylko ze względu na epidemię COVID-19,"(37, 47]",2
21,1,1,Tak,Nie,Tylko przez robota medycznego (w przypadku 99% pewności jego prawidłowego działania),Nie,Tak,Tak,Spersonalizowany robot dostępny całodobowo posiadający wszystkie konieczne funkcjonalności,Tak,Tak,Nie,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Nie wiem,Nie,Tak,około 10 sztuk,Tak,Tak,Jako uzupełnienie tradycyjnych form opieki medycznej,"(17, 27]",2
24,1,1,Tak,Nie,Tylko przez robota medycznego (w przypadku 99% pewności jego prawidłowego działania),Tak,Tak,Tak,Spersonalizowany robot dostępny całodobowo posiadający wszystkie konieczne funkcjonalności,Tak,Tak,Tak,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Nie wiem,Nie,Tak,około 10 sztuk,Tak,Tak,Tylko ze względu na epidemię COVID-19,"(17, 27]",2
22,1,2,Tak,Nie,Jedynie przez wykształconego chirurga,Tak,Nie,Tak,Człowiek,Tak,Tak,Nie,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Nie,Nie wiem,Nie,Nie,około 10 sztuk,Nie,Nie,Zamiast tradycyjnej opieki medycznej,"(17, 27]",2
50,2,3,Tak,Tak,Tylko przez robota medycznego (w przypadku 99% pewności jego prawidłowego działania),Tak,Tak,Tak,Spersonalizowany robot dostępny całodobowo posiadający wszystkie konieczne funkcjonalności,Tak,Tak,Tak,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Tak,Tak,Tak,około 10 sztuk,Tak,Tak,Tylko ze względu na epidemię COVID-19,"(47, 62]",0
33,2,2,Tak,Tak,Jedynie przez wykształconego chirurga,Tak,Tak,Tak,Spersonalizowany robot dostępny całodobowo posiadający wszystkie konieczne funkcjonalności,Nie,Nie,Nie,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Nie,Nie wiem,Tak,Tak,2 sztuki,Tak,Tak,Zamiast tradycyjnej opieki medycznej,"(27, 37]",2
45,1,1,Tak,Tak,Jedynie przez wykształconego chirurga,Nie,Tak,Nie,Człowiek,Nie,Nie,Tak,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Nie,Nie,Tak,Nie,2 sztuki,Tak,Nie,Zamiast tradycyjnej opieki medycznej,"(37, 47]",2
27,2,1,Tak,Nie,Jedynie przez wykształconego chirurga,Tak,Nie,Nie,Człowiek,Tak,Tak,Nie,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Nie,Tak,Nie,Tak,2 sztuki,Nie,Nie,Tylko ze względu na epidemię COVID-19,"(17, 27]",2
44,1,1,Tak,Tak,Jedynie przez wykształconego chirurga,Tak,Tak,Tak,Człowiek,Tak,Tak,Nie,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Nie wiem,Nie,Tak,2 sztuki,Tak,Tak,Zamiast tradycyjnej opieki medycznej,"(37, 47]",2
25,2,1,Tak,Nie,Jedynie przez wykształconego chirurga,Tak,Tak,Tak,Spersonalizowany robot dostępny całodobowo posiadający wszystkie konieczne funkcjonalności,Tak,Nie,Tak,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Nie,Nie wiem,Tak,Tak,około 10 sztuk,Nie,Nie,Zamiast tradycyjnej opieki medycznej,"(17, 27]",2
