id,respondent_id,wieksza_zaplata_zabieg,leczenie_leki_genetyczne,ingerencja_geny,dane_czujniki_spersonalizowanie,opiekun_robot_czlowiek,koszulka_smart,tatuaz_smart,chip
1,3,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Nie,Tak,Człowiek,Tak,Tak,Nie
2,4,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Nie,Tak,Spersonalizowany robot dostępny całodobowo posiadający wszystkie konieczne funkcjonalności,Tak,Tak,Nie
3,6,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Tak,Tak,Spersonalizowany robot dostępny całodobowo posiadający wszystkie konieczne funkcjonalności,Tak,Tak,Tak
4,7,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Tak,Nie,Człowiek,Tak,Tak,Nie
5,9,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Tak,Tak,Spersonalizowany robot dostępny całodobowo posiadający wszystkie konieczne funkcjonalności,Tak,Tak,Tak
6,9,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Tak,Tak,Spersonalizowany robot dostępny całodobowo posiadający wszystkie konieczne funkcjonalności,Tak,Tak,Tak
7,9,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Tak,Tak,Spersonalizowany robot dostępny całodobowo posiadający wszystkie konieczne funkcjonalności,Tak,Tak,Tak
8,7,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Tak,Nie,Człowiek,Tak,Tak,Nie
9,11,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Tak,Tak,Spersonalizowany robot dostępny całodobowo posiadający wszystkie konieczne funkcjonalności,Nie,Nie,Nie
10,12,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Nie,Nie,Tak,Człowiek,Nie,Nie,Tak
11,13,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Nie,Tak,Nie,Człowiek,Tak,Tak,Nie
12,15,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Tak,Tak,Człowiek,Tak,Tak,Nie
13,16,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Tak,Tak,Spersonalizowany robot dostępny całodobowo posiadający wszystkie konieczne funkcjonalności,Tak,Nie,Tak
14,17,Pozostać przy sprawdzonych technologiach bez ponoszenia dodatkowych kosztów,Nie,Tak,Tak,Człowiek,Tak,Nie,Nie
15,18,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Tak,Tak,Spersonalizowany robot dostępny całodobowo posiadający wszystkie konieczne funkcjonalności,Tak,Tak,Tak
16,19,Pozostać przy sprawdzonych technologiach bez ponoszenia dodatkowych kosztów,Nie,Nie,Nie,Człowiek,Tak,Tak,Tak
17,20,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Nie,Nie,Tak,Człowiek,Tak,Tak,Nie
18,21,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Tak,Tak,Człowiek,Tak,Tak,Tak
19,21,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Tak,Tak,Człowiek,Tak,Tak,Tak
20,22,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Tak,Tak,Człowiek,Tak,Nie,Nie
21,23,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Tak,Tak,Spersonalizowany robot dostępny całodobowo posiadający wszystkie konieczne funkcjonalności,Nie,Nie,Nie
22,26,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Nie,Tak,Człowiek,Nie,Tak,Nie
23,24,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Tak,Tak,Spersonalizowany robot dostępny całodobowo posiadający wszystkie konieczne funkcjonalności,Tak,Nie,Nie
24,27,Pozostać przy sprawdzonych technologiach bez ponoszenia dodatkowych kosztów,Tak,Tak,Tak,Człowiek,Tak,Nie,Nie
25,35,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Tak,Tak,Spersonalizowany robot dostępny całodobowo posiadający wszystkie konieczne funkcjonalności,Tak,Tak,Tak
26,36,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Tak,Nie,Spersonalizowany robot dostępny całodobowo posiadający wszystkie konieczne funkcjonalności,Nie,Tak,Nie
27,37,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Nie,Nie,Spersonalizowany robot dostępny całodobowo posiadający wszystkie konieczne funkcjonalności,Tak,Nie,Nie
28,39,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Tak,Tak,Spersonalizowany robot dostępny całodobowo posiadający wszystkie konieczne funkcjonalności,Tak,Nie,Tak
29,40,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Tak,Nie,Spersonalizowany robot dostępny całodobowo posiadający wszystkie konieczne funkcjonalności,Nie,Tak,Nie
30,41,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Tak,Tak,Spersonalizowany robot dostępny całodobowo posiadający wszystkie konieczne funkcjonalności,Tak,Nie,Tak
31,42,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Nie,Tak,Człowiek,Nie,Nie,Nie
32,43,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Tak,Tak,Człowiek,Tak,Nie,Nie
33,44,Pozostać przy sprawdzonych technologiach bez ponoszenia dodatkowych kosztów,Tak,Tak,Tak,Spersonalizowany robot dostępny całodobowo posiadający wszystkie konieczne funkcjonalności,Nie,Tak,Nie
34,45,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Tak,Tak,Spersonalizowany robot dostępny całodobowo posiadający wszystkie konieczne funkcjonalności,Tak,Tak,Tak
35,46,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Tak,Tak,Spersonalizowany robot dostępny całodobowo posiadający wszystkie konieczne funkcjonalności,Nie,Tak,Tak
36,47,Pozostać przy sprawdzonych technologiach bez ponoszenia dodatkowych kosztów,Nie,Nie,Nie,Człowiek,Nie,Nie,Nie
37,49,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Tak,Tak,Człowiek,Tak,Tak,Tak
38,48,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Tak,Nie,Człowiek,Tak,Tak,Tak
39,51,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Tak,Tak,Spersonalizowany robot dostępny całodobowo posiadający wszystkie konieczne funkcjonalności,Tak,Tak,Nie
40,52,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Nie,Tak,Człowiek,Tak,Tak,Nie
41,53,Pozostać przy sprawdzonych technologiach bez ponoszenia dodatkowych kosztów,Nie,Nie,Nie,Człowiek,Nie,Tak,Nie
42,54,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Tak,Nie,Spersonalizowany robot dostępny całodobowo posiadający wszystkie konieczne funkcjonalności,Nie,Nie,Nie
43,55,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Nie,Tak,Człowiek,Tak,Tak,Nie
44,56,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Tak,Tak,Człowiek,Tak,Nie,Nie
45,58,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Nie,Tak,Człowiek,Nie,Tak,Nie
46,60,Pozostać przy sprawdzonych technologiach bez ponoszenia dodatkowych kosztów,Tak,Nie,Tak,Spersonalizowany robot dostępny całodobowo posiadający wszystkie konieczne funkcjonalności,Tak,Tak,Nie
47,63,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Tak,Nie,Spersonalizowany robot dostępny całodobowo posiadający wszystkie konieczne funkcjonalności,Nie,Tak,Nie
48,62,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Nie,Nie,Nie,Człowiek,Nie,Nie,Nie
49,66,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Tak,Nie,Człowiek,Tak,Tak,Nie
50,67,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Nie,Nie,Tak,Człowiek,Tak,Nie,Tak
51,68,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Tak,Tak,Spersonalizowany robot dostępny całodobowo posiadający wszystkie konieczne funkcjonalności,Tak,Tak,Tak
52,70,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Tak,Tak,Spersonalizowany robot dostępny całodobowo posiadający wszystkie konieczne funkcjonalności,Tak,Tak,Nie
53,72,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Nie,Nie,Człowiek,Nie,Tak,Nie
54,73,"Zapłacić więcej za nowsze, bardziej precyzyjne technologie",Tak,Tak,Nie,Człowiek,Nie,Tak,Nie
