id,respondent_id,udzial_zaawansowane_badanie,stosowanie_urzadzen,vr
1,3,Nie,Nie,Nie
2,4,Nie wiem,Tak,Nie
3,6,Nie wiem,Tak,Nie
4,7,Nie wiem,Nie,Nie
5,9,Tak,Tak,Tak
6,9,Tak,Tak,Tak
7,9,Tak,Tak,Tak
8,7,Nie wiem,Nie,Nie
9,11,Nie wiem,Nie,Tak
10,12,Nie,Nie,Tak
11,13,Tak,Nie,Nie
12,15,Nie wiem,Tak,Nie
13,16,Nie wiem,Nie,Tak
14,17,Nie,Nie,Nie
15,18,Tak,Tak,Tak
16,19,Tak,Tak,Tak
17,20,Nie,Tak,Tak
18,21,Tak,Tak,Tak
19,21,Tak,Tak,Tak
20,22,Tak,Tak,Tak
21,23,Nie,Tak,Tak
22,26,Tak,Tak,Nie
23,24,Nie,Tak,Nie
24,27,Tak,Tak,Tak
25,35,Tak,Tak,Tak
26,36,Tak,Tak,Tak
27,37,Tak,Nie,Nie
28,39,Nie wiem,Nie,Tak
29,40,Tak,Tak,Tak
30,41,Tak,Tak,Tak
31,42,Tak,Nie,Nie
32,43,Tak,Tak,Nie
33,44,Tak,Tak,Tak
34,45,Nie wiem,Tak,Tak
35,46,Tak,Tak,Nie
36,47,Nie,Nie,Nie
37,49,Tak,Tak,Tak
38,48,Tak,Nie,Nie
39,51,Nie,Tak,Nie
40,52,Nie,Nie,Nie
41,53,Tak,Tak,Nie
42,54,Nie,Tak,Tak
43,55,Nie,Nie,Nie
44,56,Nie,Nie,Nie
45,58,Nie,Tak,Nie
46,60,Tak,Tak,Nie
47,63,Nie,Nie,Nie
48,62,Nie,Nie,Nie
49,66,Nie,Tak,Nie
50,67,Nie,Tak,Tak
51,68,Tak,Tak,Tak
52,70,Nie,Nie,Nie
53,72,Nie,Nie,Nie
54,73,Nie,Nie,Nie
55,75,Tak,Tak,Tak
56,74,Nie,Nie,Tak
57,74,Nie,Nie,Tak
58,74,Nie,Nie,Tak
59,74,Nie,Nie,Tak
60,77,Nie,Nie,Nie
61,78,Tak,Tak,Nie
62,82,Nie,Nie,Nie
63,83,Nie,Nie,Nie
64,85,Nie,Tak,Tak
65,80,Nie,Nie,Tak
66,79,Tak,Nie,Nie
67,87,Tak,Tak,Nie
68,86,Tak,Nie,Nie
69,88,Tak,Tak,Tak
70,89,Tak,Nie,Nie
71,90,Nie wiem,Tak,Tak
72,91,Nie,Nie,Nie
73,92,Nie,Nie,Tak
74,93,Tak,Tak,Tak
75,94,Tak,Tak,Nie
76,95,Tak,Tak,Tak
77,96,Tak,Tak,Tak
78,98,Tak,Nie,Tak
79,97,Tak,Tak,Nie
80,97,Tak,Tak,Nie
81,99,Nie,Tak,Tak
82,100,Tak,Tak,Tak
83,101,Tak,Tak,Tak
84,102,Nie,Nie,Nie
85,103,Tak,Tak,Nie
86,105,Tak,Tak,Nie
87,104,Nie,Tak,Nie
88,106,Tak,Nie,Tak
89,107,Tak,Tak,Nie
90,108,Tak,Tak,Tak
91,110,Nie,Nie,Nie
92,111,Tak,Tak,Tak
93,112,Tak,Tak,Tak
94,113,Tak,Tak,Nie
95,114,Nie,Tak,Nie
96,115,Tak,Tak,Tak
97,116,Tak,Tak,Tak
98,117,Tak,Tak,Nie
99,118,Tak,Tak,Nie
100,119,Tak,Tak,Tak
101,120,Tak,Tak,Nie
102,121,Nie,Tak,Nie
103,122,Tak,Tak,Tak
104,123,Tak,Tak,Nie
105,123,Tak,Tak,Nie
