,wspomaganie_innowacji_Tak,Jedynie przez wykształconego chirurga,ai_zastapienie_lekarzy_Tak
0,1,1,1
1,1,0,0
2,1,0,0
3,1,1,0
4,1,0,1
5,1,0,1
6,1,0,1
7,1,1,0
8,1,1,1
9,1,1,1
10,1,1,0
11,1,1,1
12,1,1,0
13,0,1,0
14,1,0,1
15,0,1,1
16,1,1,1
17,1,0,1
18,1,0,1
19,1,0,1
20,0,0,0
21,1,0,0
22,1,0,0
23,1,0,0
24,0,1,0
25,1,0,1
26,1,0,0
27,1,0,1
28,1,1,0
29,1,1,1
30,1,1,0
31,1,0,1
32,1,0,0
33,1,0,0
34,1,1,0
35,0,1,1
36,1,0,1
37,1,0,0
38,1,0,0
39,1,1,0
40,0,1,1
41,0,0,0
42,1,1,1
43,1,1,0
44,1,0,0
45,0,0,0
46,0,1,1
47,0,1,0
48,0,0,0
49,1,0,1
50,1,0,1
51,1,0,0
52,1,0,0
53,0,1,0
54,1,0,0
55,1,0,0
56,1,0,0
57,1,0,0
58,1,0,0
59,0,1,0
60,1,0,0
61,0,1,0
62,1,1,0
63,1,1,0
64,1,1,0
65,1,1,0
66,1,1,1
67,0,1,0
68,1,1,0
69,1,1,0
70,0,1,1
71,0,0,0
72,0,1,0
73,0,0,1
74,1,0,1
75,1,1,1
76,1,0,1
77,1,0,1
78,1,0,1
79,1,0,1
80,1,0,0
81,1,0,1
82,1,0,1
83,0,0,0
84,1,0,0
85,1,1,1
86,1,1,0
87,0,1,1
88,1,1,1
89,1,0,0
90,0,0,0
91,1,0,0
92,1,1,0
93,1,1,0
94,1,0,0
95,1,0,1
96,1,1,1
97,1,0,1
98,1,0,0
99,1,0,0
100,1,0,0
101,1,0,1
102,1,0,1
103,1,0,0
104,1,0,0
