id,respondent_id,predyspozycje_genetyczne,swiadomosc_korzysci_ai,liczba_daVinci,przewidywanie_stan_zdrowia,telemedycyna
1,3,Tak,Tak,około 100 sztuk,Tak,Tylko ze względu na epidemię COVID-19
2,4,Tak,Tak,około 10 sztuk,Tak,Jako uzupełnienie tradycyjnych form opieki medycznej
3,6,Tak,Tak,około 10 sztuk,Tak,Tylko ze względu na epidemię COVID-19
4,7,Nie,Nie,około 10 sztuk,Nie,Zamiast tradycyjnej opieki medycznej
5,9,Tak,Tak,około 10 sztuk,Tak,Tylko ze względu na epidemię COVID-19
6,9,Tak,Tak,około 10 sztuk,Tak,Tylko ze względu na epidemię COVID-19
7,9,Tak,Tak,około 10 sztuk,Tak,Tylko ze względu na epidemię COVID-19
8,7,Nie,Nie,około 10 sztuk,Nie,Zamiast tradycyjnej opieki medycznej
9,11,Tak,Tak,2 sztuki,Tak,Zamiast tradycyjnej opieki medycznej
10,12,Nie,Nie,2 sztuki,Tak,Zamiast tradycyjnej opieki medycznej
11,13,Tak,Nie,2 sztuki,Nie,Tylko ze względu na epidemię COVID-19
12,15,Tak,Tak,2 sztuki,Tak,Zamiast tradycyjnej opieki medycznej
13,16,Tak,Nie,około 10 sztuk,Nie,Zamiast tradycyjnej opieki medycznej
14,17,Nie,Nie,około 1000 sztuk,Nie,Tylko ze względu na epidemię COVID-19
15,18,Tak,Tak,około 10 sztuk,Tak,Jako uzupełnienie tradycyjnych form opieki medycznej
16,19,Tak,Nie,2 sztuki,Nie,Zamiast tradycyjnej opieki medycznej
17,20,Tak,Tak,około 10 sztuk,Tak,Tylko ze względu na epidemię COVID-19
18,21,Tak,Tak,około 10 sztuk,Tak,Jako uzupełnienie tradycyjnych form opieki medycznej
19,21,Tak,Tak,około 10 sztuk,Tak,Jako uzupełnienie tradycyjnych form opieki medycznej
20,22,Tak,Tak,2 sztuki,Tak,Tylko ze względu na epidemię COVID-19
21,23,Tak,Tak,około 10 sztuk,Tak,Tylko ze względu na epidemię COVID-19
22,26,Tak,Tak,około 10 sztuk,Tak,Tylko ze względu na epidemię COVID-19
23,24,Nie,Tak,około 10 sztuk,Tak,Jako uzupełnienie tradycyjnych form opieki medycznej
24,27,Tak,Tak,2 sztuki,Tak,Jako uzupełnienie tradycyjnych form opieki medycznej
25,35,Nie,Tak,2 sztuki,Tak,Jako uzupełnienie tradycyjnych form opieki medycznej
26,36,Tak,Tak,2 sztuki,Nie,Tylko ze względu na epidemię COVID-19
27,37,Tak,Tak,2 sztuki,Tak,Tylko ze względu na epidemię COVID-19
28,39,Tak,Tak,około 10 sztuk,Tak,Jako uzupełnienie tradycyjnych form opieki medycznej
29,40,Nie,Nie,2 sztuki,Tak,Tylko ze względu na epidemię COVID-19
30,41,Tak,Tak,2 sztuki,Tak,Jako uzupełnienie tradycyjnych form opieki medycznej
31,42,Tak,Tak,około 10 sztuk,Tak,Jako uzupełnienie tradycyjnych form opieki medycznej
32,43,Tak,Tak,2 sztuki,Tak,Jako uzupełnienie tradycyjnych form opieki medycznej
33,44,Nie,Tak,około 10 sztuk,Nie,Jako uzupełnienie tradycyjnych form opieki medycznej
